nomenclature;nb_deficits;deficit_total;deficit_moyen;deficit_min;deficit_max;total_exploitation;moy_exploitation;total_stock;moy_stock;nb_magasins;nb_manques;nb_surplus;manques_total;surplus_total
5998-14-4491656;1;34.0;34.0;34.0;34.0;4.0;4.0;38.0;38.0;1;;1.0;;34.0
5998-14-5890370;3;-34.0;-11.33;-44.0;15.0;62.0;20.67;28.0;9.33;3;2.0;1.0;49.0;15.0
7025-14-5874071;1;-34.0;-34.0;-34.0;-34.0;39.0;39.0;5.0;5.0;1;1.0;;34.0;
5810-14-5763435;2;-34.0;-17.0;-24.0;-10.0;37.0;18.5;3.0;1.5;2;2.0;;34.0;
5120-12-4068022;2;34.0;17.0;0.0;34.0;25.0;12.5;59.0;29.5;2;;1.0;;34.0
7025-01-6429649;1;-33.0;-33.0;-33.0;-33.0;34.0;34.0;1.0;1.0;1;1.0;;33.0;
5998-20-0085539;3;-33.0;-11.0;-22.0;4.0;50.0;16.67;17.0;5.67;3;2.0;1.0;37.0;4.0
7025-17-1254851;1;33.0;33.0;33.0;33.0;1.0;1.0;34.0;34.0;1;;1.0;;33.0
7025-14-5947791;1;33.0;33.0;33.0;33.0;4.0;4.0;37.0;37.0;1;;1.0;;33.0
7490-01-5822347;3;-33.0;-11.0;-31.0;1.0;40.0;13.33;7.0;2.33;3;2.0;1.0;34.0;1.0
6130-14-5654861;1;-33.0;-33.0;-33.0;-33.0;34.0;34.0;1.0;1.0;1;1.0;;33.0;
5895-14-5147140;1;33.0;33.0;33.0;33.0;2.0;2.0;35.0;35.0;1;;1.0;;33.0
5998-14-5649409;4;33.0;8.25;-2.0;34.0;7.0;1.75;40.0;10.0;4;1.0;2.0;2.0;35.0
7025-01-6470038;1;33.0;33.0;33.0;33.0;1.0;1.0;34.0;34.0;1;;1.0;;33.0
5998-14-5776623;3;-33.0;-11.0;-21.0;-5.0;38.0;12.67;5.0;1.67;3;3.0;;33.0;
5975-14-6014460;4;33.0;8.25;-14.0;61.0;35.0;8.75;68.0;17.0;4;3.0;1.0;28.0;61.0
5998-14-4535518;1;-32.0;-32.0;-32.0;-32.0;34.0;34.0;2.0;2.0;1;1.0;;32.0;
5998-14-4852177;1;-32.0;-32.0;-32.0;-32.0;36.0;36.0;4.0;4.0;1;1.0;;32.0;
5810-14-5860297;3;32.0;10.67;-4.0;39.0;10.0;3.33;42.0;14.0;3;2.0;1.0;7.0;39.0
7025-01-7061923;1;32.0;32.0;32.0;32.0;7.0;7.0;39.0;39.0;1;;1.0;;32.0
5998-14-5900499;2;-32.0;-16.0;-25.0;-7.0;45.0;22.5;13.0;6.5;2;2.0;;32.0;
7025-01-6691110;5;-31.0;-6.2;-31.0;20.0;59.0;11.8;28.0;5.6;5;4.0;1.0;51.0;20.0
7025-01-6735508;3;-31.0;-10.33;-31.0;5.0;46.0;15.33;15.0;5.0;3;2.0;1.0;36.0;5.0
7050-14-5822576;3;31.0;10.33;-61.0;123.0;198.0;66.0;229.0;76.33;3;2.0;1.0;92.0;123.0
5998-14-5649411;6;-31.0;-5.17;-31.0;41.0;86.0;14.33;55.0;9.17;6;5.0;1.0;72.0;41.0
7010-14-5944723;1;-31.0;-31.0;-31.0;-31.0;32.0;32.0;1.0;1.0;1;1.0;;31.0;
7035-14-5860693;3;30.0;10.0;-31.0;69.0;44.0;14.67;74.0;24.67;3;2.0;1.0;39.0;69.0
5895-14-5470829;1;30.0;30.0;30.0;30.0;9.0;9.0;39.0;39.0;1;;1.0;;30.0
5810-14-5872748;2;-30.0;-15.0;-23.0;-7.0;32.0;16.0;2.0;1.0;2;2.0;;30.0;
7025-01-6429660;2;-30.0;-15.0;-27.0;-3.0;37.0;18.5;7.0;3.5;2;2.0;;30.0;
5998-14-5649223;3;30.0;10.0;-4.0;36.0;14.0;4.67;44.0;14.67;3;2.0;1.0;6.0;36.0
9010-DI-1022014;1;-30.0;-30.0;-30.0;-30.0;33.0;33.0;3.0;3.0;1;1.0;;30.0;
5998-14-4682244;1;30.0;30.0;30.0;30.0;2.0;2.0;32.0;32.0;1;;1.0;;30.0
7010-14-5696893;1;-29.0;-29.0;-29.0;-29.0;50.0;50.0;21.0;21.0;1;1.0;;29.0;
7025-01-6620265;1;-29.0;-29.0;-29.0;-29.0;31.0;31.0;2.0;2.0;1;1.0;;29.0;
5998-14-4852170;1;29.0;29.0;29.0;29.0;2.0;2.0;31.0;31.0;1;;1.0;;29.0
7025-01-6229697;1;29.0;29.0;29.0;29.0;23.0;23.0;52.0;52.0;1;;1.0;;29.0
5895-01-6592493;2;-29.0;-14.5;-26.0;-3.0;35.0;17.5;6.0;3.0;2;2.0;;29.0;
7025-99-8201129;2;-29.0;-14.5;-23.0;-6.0;38.0;19.0;9.0;4.5;2;2.0;;29.0;
7035-15-0231142;2;-29.0;-14.5;-29.0;0.0;38.0;19.0;9.0;4.5;2;1.0;;29.0;
7035-12-4012369;4;-28.0;-7.0;-60.0;58.0;105.0;26.25;77.0;19.25;4;2.0;1.0;86.0;58.0
DIRI-14-0002652;1;28.0;28.0;28.0;28.0;1.0;1.0;29.0;29.0;1;;1.0;;28.0
5998-14-4747177;2;-28.0;-14.0;-21.0;-7.0;32.0;16.0;4.0;2.0;2;2.0;;28.0;
DIRI-14-0003149;2;-28.0;-14.0;-27.0;-1.0;40.0;20.0;12.0;6.0;2;2.0;;28.0;
5895-01-6692703;3;-28.0;-9.33;-13.0;-3.0;37.0;12.33;9.0;3.0;3;3.0;;28.0;
5998-14-4636519;1;-28.0;-28.0;-28.0;-28.0;29.0;29.0;1.0;1.0;1;1.0;;28.0;
8145-14-5886587;1;28.0;28.0;28.0;28.0;2.0;2.0;30.0;30.0;1;;1.0;;28.0
5998-14-4535523;1;-27.0;-27.0;-27.0;-27.0;30.0;30.0;3.0;3.0;1;1.0;;27.0;
7025-01-6429635;3;27.0;9.0;-8.0;39.0;20.0;6.67;47.0;15.67;3;2.0;1.0;12.0;39.0
5998-01-6108956;1;27.0;27.0;27.0;27.0;2.0;2.0;29.0;29.0;1;;1.0;;27.0
7025-01-6671018;1;-27.0;-27.0;-27.0;-27.0;31.0;31.0;4.0;4.0;1;1.0;;27.0;
5998-14-4747179;2;-26.0;-13.0;-19.0;-7.0;30.0;15.0;4.0;2.0;2;2.0;;26.0;
DIRI-14-0001869;1;25.0;25.0;25.0;25.0;3.0;3.0;28.0;28.0;1;;1.0;;25.0
5895-14-5714032;1;-25.0;-25.0;-25.0;-25.0;26.0;26.0;1.0;1.0;1;1.0;;25.0;
6130-14-5714038;1;-25.0;-25.0;-25.0;-25.0;29.0;29.0;4.0;4.0;1;1.0;;25.0;
5805-14-4813168;1;-25.0;-25.0;-25.0;-25.0;36.0;36.0;11.0;11.0;1;1.0;;25.0;
5998-14-5649251;7;-25.0;-3.57;-56.0;89.0;150.0;21.43;125.0;17.86;7;6.0;1.0;114.0;89.0
7025-14-5884250;1;-25.0;-25.0;-25.0;-25.0;36.0;36.0;11.0;11.0;1;1.0;;25.0;
5820-22-6224794;4;-25.0;-6.25;-15.0;0.0;34.0;8.5;9.0;2.25;4;3.0;;25.0;
5810-14-5872750;2;-24.0;-12.0;-23.0;-1.0;26.0;13.0;2.0;1.0;2;2.0;;24.0;
5998-14-5540116;3;24.0;8.0;-8.0;31.0;17.0;5.67;41.0;13.67;3;1.0;2.0;8.0;32.0
6130-14-5839922;1;-24.0;-24.0;-24.0;-24.0;25.0;25.0;1.0;1.0;1;1.0;;24.0;
7025-01-6162699;4;-24.0;-6.0;-11.0;1.0;32.0;8.0;8.0;2.0;4;3.0;1.0;25.0;1.0
7025-14-5651814;1;24.0;24.0;24.0;24.0;1.0;1.0;25.0;25.0;1;;1.0;;24.0
7010-14-5699183;1;-24.0;-24.0;-24.0;-24.0;26.0;26.0;2.0;2.0;1;1.0;;24.0;
5998-14-5649434;8;-24.0;-3.0;-16.0;35.0;89.0;11.12;65.0;8.12;8;7.0;1.0;59.0;35.0
7050-01-6000825;3;-24.0;-8.0;-20.0;-2.0;35.0;11.67;11.0;3.67;3;3.0;;24.0;
5825-01-5391144;2;-23.0;-11.5;-23.0;0.0;35.0;17.5;12.0;6.0;2;1.0;;23.0;
5975-01-6312801;2;22.0;11.0;-3.0;25.0;5.0;2.5;27.0;13.5;2;1.0;1.0;3.0;25.0
5895-14-5993795;1;22.0;22.0;22.0;22.0;1.0;1.0;23.0;23.0;1;;1.0;;22.0
5998-14-4823886;2;-22.0;-11.0;-15.0;-7.0;26.0;13.0;4.0;2.0;2;2.0;;22.0;
5998-14-4761677;1;22.0;22.0;22.0;22.0;1.0;1.0;23.0;23.0;1;;1.0;;22.0
7025-01-6013219;1;22.0;22.0;22.0;22.0;1.0;1.0;23.0;23.0;1;;1.0;;22.0
5805-14-5407613;3;22.0;7.33;-351.0;483.0;485.0;161.67;507.0;169.0;3;2.0;1.0;461.0;483.0
5805-01-6721744;5;22.0;4.4;-12.0;46.0;46.0;9.2;68.0;13.6;5;3.0;1.0;24.0;46.0
7025-01-6429667;1;22.0;22.0;22.0;22.0;10.0;10.0;32.0;32.0;1;;1.0;;22.0
7021-14-5732755;2;-21.0;-10.5;-18.0;-3.0;27.0;13.5;6.0;3.0;2;2.0;;21.0;
7025-14-6066248;1;-21.0;-21.0;-21.0;-21.0;49.0;49.0;28.0;28.0;1;1.0;;21.0;
5805-14-5135582;1;-21.0;-21.0;-21.0;-21.0;22.0;22.0;1.0;1.0;1;1.0;;21.0;
7050-01-6861556;3;21.0;7.0;1.0;16.0;42.0;14.0;63.0;21.0;3;;3.0;;21.0
5985-14-5511392;2;21.0;10.5;-14.0;35.0;20.0;10.0;41.0;20.5;2;1.0;1.0;14.0;35.0
9010-DI-1012013;1;-21.0;-21.0;-21.0;-21.0;23.0;23.0;2.0;2.0;1;1.0;;21.0;
6130-14-5649300;4;20.0;5.0;-13.0;45.0;38.0;9.5;58.0;14.5;4;3.0;1.0;25.0;45.0
6130-01-6798090;1;-20.0;-20.0;-20.0;-20.0;22.0;22.0;2.0;2.0;1;1.0;;20.0;
7010-14-5961808;8;-20.0;-2.5;-24.0;10.0;52.0;6.5;32.0;4.0;8;5.0;2.0;37.0;17.0
5805-14-5883097;2;20.0;10.0;-17.0;37.0;25.0;12.5;45.0;22.5;2;1.0;1.0;17.0;37.0
6130-14-4532514;1;-20.0;-20.0;-20.0;-20.0;21.0;21.0;1.0;1.0;1;1.0;;20.0;
5985-14-4659246;2;20.0;10.0;8.0;12.0;20.0;10.0;40.0;20.0;2;;2.0;;20.0
7025-14-5812059;3;-20.0;-6.67;-9.0;-4.0;25.0;8.33;5.0;1.67;3;3.0;;20.0;
DIRI-14-0004877;1;20.0;20.0;20.0;20.0;2.0;2.0;22.0;22.0;1;;1.0;;20.0
5835-12-4150504;2;-20.0;-10.0;-14.0;-6.0;29.0;14.5;9.0;4.5;2;2.0;;20.0;
7025-01-5379117;2;-20.0;-10.0;-19.0;-1.0;40.0;20.0;20.0;10.0;2;2.0;;20.0;
7025-14-5930620;1;20.0;20.0;20.0;20.0;3.0;3.0;23.0;23.0;1;;1.0;;20.0
5998-14-5126208;1;-20.0;-20.0;-20.0;-20.0;21.0;21.0;1.0;1.0;1;1.0;;20.0;
7025-14-5947596;3;-20.0;-6.67;-11.0;-2.0;29.0;9.67;9.0;3.0;3;3.0;;20.0;
5895-01-5555276;2;19.0;9.5;-178.0;197.0;202.0;101.0;221.0;110.5;2;1.0;1.0;178.0;197.0
5998-14-4536850;1;-19.0;-19.0;-19.0;-19.0;20.0;20.0;1.0;1.0;1;1.0;;19.0;
7025-17-1278675;1;19.0;19.0;19.0;19.0;5.0;5.0;24.0;24.0;1;;1.0;;19.0
7025-01-6680574;2;19.0;9.5;-10.0;29.0;13.0;6.5;32.0;16.0;2;1.0;1.0;10.0;29.0
7010-14-5862611;1;19.0;19.0;19.0;19.0;4.0;4.0;23.0;23.0;1;;1.0;;19.0
6130-14-5129607;1;19.0;19.0;19.0;19.0;1.0;1.0;20.0;20.0;1;;1.0;;19.0
5895-14-6008059;1;-19.0;-19.0;-19.0;-19.0;21.0;21.0;2.0;2.0;1;1.0;;19.0;
5895-14-5927592;1;18.0;18.0;18.0;18.0;1.0;1.0;19.0;19.0;1;;1.0;;18.0
5805-14-5899554;1;-18.0;-18.0;-18.0;-18.0;23.0;23.0;5.0;5.0;1;1.0;;18.0;
5895-14-5637548;1;18.0;18.0;18.0;18.0;4.0;4.0;22.0;22.0;1;;1.0;;18.0
DIRI-14-0004643;1;18.0;18.0;18.0;18.0;1.0;1.0;19.0;19.0;1;;1.0;;18.0
7025-01-6844735;6;18.0;3.0;-4.0;10.0;61.0;10.17;79.0;13.17;6;2.0;3.0;5.0;23.0
5998-14-4761678;1;18.0;18.0;18.0;18.0;2.0;2.0;20.0;20.0;1;;1.0;;18.0
5805-14-5117389;1;-18.0;-18.0;-18.0;-18.0;20.0;20.0;2.0;2.0;1;1.0;;18.0;
7035-25-1476091;1;17.0;17.0;17.0;17.0;1.0;1.0;18.0;18.0;1;;1.0;;17.0
5998-14-5223334;1;17.0;17.0;17.0;17.0;3.0;3.0;20.0;20.0;1;;1.0;;17.0
7025-14-6066924;1;17.0;17.0;17.0;17.0;7.0;7.0;24.0;24.0;1;;1.0;;17.0
6130-01-6654038;1;17.0;17.0;17.0;17.0;1.0;1.0;18.0;18.0;1;;1.0;;17.0
5895-14-5767842;2;-17.0;-8.5;-10.0;-7.0;26.0;13.0;9.0;4.5;2;2.0;;17.0;
7050-14-5464042;3;-17.0;-5.67;-15.0;-1.0;22.0;7.33;5.0;1.67;3;3.0;;17.0;
6130-01-6594359;1;-17.0;-17.0;-17.0;-17.0;18.0;18.0;1.0;1.0;1;1.0;;17.0;
5805-01-5795097;1;-17.0;-17.0;-17.0;-17.0;18.0;18.0;1.0;1.0;1;1.0;;17.0;
7025-14-5930484;1;16.0;16.0;16.0;16.0;5.0;5.0;21.0;21.0;1;;1.0;;16.0
5805-14-4220850;1;16.0;16.0;16.0;16.0;2.0;2.0;18.0;18.0;1;;1.0;;16.0
5895-01-6998026;3;-16.0;-5.33;-21.0;3.0;24.0;8.0;8.0;2.67;3;1.0;2.0;21.0;5.0
5895-14-4784400;1;16.0;16.0;16.0;16.0;1.0;1.0;17.0;17.0;1;;1.0;;16.0
5975-14-4491638;1;16.0;16.0;16.0;16.0;2.0;2.0;18.0;18.0;1;;1.0;;16.0
5895-15-2168665;1;-16.0;-16.0;-16.0;-16.0;19.0;19.0;3.0;3.0;1;1.0;;16.0;
5998-14-4852169;3;-16.0;-5.33;-33.0;41.0;69.0;23.0;53.0;17.67;3;2.0;1.0;57.0;41.0
8145-14-5886585;1;16.0;16.0;16.0;16.0;2.0;2.0;18.0;18.0;1;;1.0;;16.0
5895-22-6161898;2;-15.0;-7.5;-14.0;-1.0;24.0;12.0;9.0;4.5;2;2.0;;15.0;
5998-14-4852180;3;15.0;5.0;-21.0;39.0;30.0;10.0;45.0;15.0;3;2.0;1.0;24.0;39.0
7025-14-6031213;1;15.0;15.0;15.0;15.0;1.0;1.0;16.0;16.0;1;;1.0;;15.0
7025-22-6279694;1;15.0;15.0;15.0;15.0;2.0;2.0;17.0;17.0;1;;1.0;;15.0
7021-01-5844460;1;15.0;15.0;15.0;15.0;11.0;11.0;26.0;26.0;1;;1.0;;15.0
7025-01-5933588;1;15.0;15.0;15.0;15.0;17.0;17.0;32.0;32.0;1;;1.0;;15.0
9010-DI-1012016;5;-15.0;-3.0;-34.0;11.0;74.0;14.8;59.0;11.8;5;2.0;3.0;35.0;20.0
7025-01-6611870;1;-15.0;-15.0;-15.0;-15.0;22.0;22.0;7.0;7.0;1;1.0;;15.0;
9080-DI-0372021;1;15.0;15.0;15.0;15.0;3.0;3.0;18.0;18.0;1;;1.0;;15.0
7025-01-5868738;1;15.0;15.0;15.0;15.0;6.0;6.0;21.0;21.0;1;;1.0;;15.0
5805-14-5216514;1;15.0;15.0;15.0;15.0;4.0;4.0;19.0;19.0;1;;1.0;;15.0
6130-14-5976924;1;-15.0;-15.0;-15.0;-15.0;18.0;18.0;3.0;3.0;1;1.0;;15.0;
5998-14-4852168;2;14.0;7.0;-14.0;28.0;17.0;8.5;31.0;15.5;2;1.0;1.0;14.0;28.0
7025-01-4976237;1;-14.0;-14.0;-14.0;-14.0;16.0;16.0;2.0;2.0;1;1.0;;14.0;
5805-01-5636332;2;14.0;7.0;0.0;14.0;2.0;1.0;16.0;8.0;2;;1.0;;14.0
7010-26-3013874;1;-14.0;-14.0;-14.0;-14.0;17.0;17.0;3.0;3.0;1;1.0;;14.0;
7025-01-6787839;1;-14.0;-14.0;-14.0;-14.0;15.0;15.0;1.0;1.0;1;1.0;;14.0;
5998-01-6590122;1;-14.0;-14.0;-14.0;-14.0;15.0;15.0;1.0;1.0;1;1.0;;14.0;
7025-01-6113327;2;14.0;7.0;-1.0;15.0;9.0;4.5;23.0;11.5;2;1.0;1.0;1.0;15.0
6140-14-5654871;2;-14.0;-7.0;-12.0;-2.0;16.0;8.0;2.0;1.0;2;2.0;;14.0;
5998-14-5649220;1;-14.0;-14.0;-14.0;-14.0;15.0;15.0;1.0;1.0;1;1.0;;14.0;
7025-14-5584463;3;14.0;4.67;-2.0;17.0;8.0;2.67;22.0;7.33;3;2.0;1.0;3.0;17.0
7010-01-6902880;2;-14.0;-7.0;-25.0;11.0;32.0;16.0;18.0;9.0;2;1.0;1.0;25.0;11.0
6130-01-6429643;2;-14.0;-7.0;-11.0;-3.0;17.0;8.5;3.0;1.5;2;2.0;;14.0;
5895-14-5795081;1;-14.0;-14.0;-14.0;-14.0;15.0;15.0;1.0;1.0;1;1.0;;14.0;
5836-01-7013353;1;-14.0;-14.0;-14.0;-14.0;16.0;16.0;2.0;2.0;1;1.0;;14.0;
6625-01-6829918;1;14.0;14.0;14.0;14.0;2.0;2.0;16.0;16.0;1;;1.0;;14.0
7035-01-6773797;1;-14.0;-14.0;-14.0;-14.0;24.0;24.0;10.0;10.0;1;1.0;;14.0;
5895-01-7022542;4;-13.0;-3.25;-22.0;4.0;50.0;12.5;37.0;9.25;4;1.0;3.0;22.0;9.0
5895-01-6075842;1;-13.0;-13.0;-13.0;-13.0;25.0;25.0;12.0;12.0;1;1.0;;13.0;
6130-15-1804826;1;-13.0;-13.0;-13.0;-13.0;17.0;17.0;4.0;4.0;1;1.0;;13.0;
5998-14-5115515;1;-13.0;-13.0;-13.0;-13.0;18.0;18.0;5.0;5.0;1;1.0;;13.0;
5895-01-6592841;1;-13.0;-13.0;-13.0;-13.0;14.0;14.0;1.0;1.0;1;1.0;;13.0;
6130-14-4852167;3;-13.0;-4.33;-40.0;49.0;78.0;26.0;65.0;21.67;3;2.0;1.0;62.0;49.0
5998-14-4891305;1;-13.0;-13.0;-13.0;-13.0;15.0;15.0;2.0;2.0;1;1.0;;13.0;
5895-14-5223318;1;-13.0;-13.0;-13.0;-13.0;14.0;14.0;1.0;1.0;1;1.0;;13.0;
5895-14-6094639;1;13.0;13.0;13.0;13.0;1.0;1.0;14.0;14.0;1;;1.0;;13.0
5820-14-5649881;2;13.0;6.5;5.0;8.0;2.0;1.0;15.0;7.5;2;;2.0;;13.0
7025-01-6505078;1;13.0;13.0;13.0;13.0;1.0;1.0;14.0;14.0;1;;1.0;;13.0
7021-01-6973011;1;-12.0;-12.0;-12.0;-12.0;16.0;16.0;4.0;4.0;1;1.0;;12.0;
7010-14-5874077;1;-12.0;-12.0;-12.0;-12.0;13.0;13.0;1.0;1.0;1;1.0;;12.0;
6130-14-5849963;1;12.0;12.0;12.0;12.0;1.0;1.0;13.0;13.0;1;;1.0;;12.0
5998-14-6035944;1;12.0;12.0;12.0;12.0;4.0;4.0;16.0;16.0;1;;1.0;;12.0
5930-01-6692243;5;-12.0;-2.4;-20.0;26.0;67.0;13.4;55.0;11.0;5;4.0;1.0;38.0;26.0
5998-14-4747169;1;-12.0;-12.0;-12.0;-12.0;15.0;15.0;3.0;3.0;1;1.0;;12.0;
7025-20-0094505;1;12.0;12.0;12.0;12.0;3.0;3.0;15.0;15.0;1;;1.0;;12.0
5895-01-5598030;2;-12.0;-6.0;-10.0;-2.0;15.0;7.5;3.0;1.5;2;2.0;;12.0;
5895-01-6548913;1;12.0;12.0;12.0;12.0;4.0;4.0;16.0;16.0;1;;1.0;;12.0
7025-14-6078971;1;-12.0;-12.0;-12.0;-12.0;14.0;14.0;2.0;2.0;1;1.0;;12.0;
7035-14-5536385;1;12.0;12.0;12.0;12.0;5.0;5.0;17.0;17.0;1;;1.0;;12.0
5895-14-5536338;1;-12.0;-12.0;-12.0;-12.0;16.0;16.0;4.0;4.0;1;1.0;;12.0;
7025-14-5947383;1;12.0;12.0;12.0;12.0;4.0;4.0;16.0;16.0;1;;1.0;;12.0
5895-14-5854195;1;-12.0;-12.0;-12.0;-12.0;20.0;20.0;8.0;8.0;1;1.0;;12.0;
5820-01-6785684;2;12.0;6.0;-3.0;15.0;9.0;4.5;21.0;10.5;2;1.0;1.0;3.0;15.0
7025-14-5694773;1;-12.0;-12.0;-12.0;-12.0;18.0;18.0;6.0;6.0;1;1.0;;12.0;
5895-37-5195061;2;-12.0;-6.0;-10.0;-2.0;17.0;8.5;5.0;2.5;2;2.0;;12.0;
7025-01-6036810;1;12.0;12.0;12.0;12.0;4.0;4.0;16.0;16.0;1;;1.0;;12.0
9080-DI-0412021;1;-12.0;-12.0;-12.0;-12.0;14.0;14.0;2.0;2.0;1;1.0;;12.0;
5805-15-2220909;1;-12.0;-12.0;-12.0;-12.0;17.0;17.0;5.0;5.0;1;1.0;;12.0;
7025-66-1638304;2;-12.0;-6.0;-10.0;-2.0;17.0;8.5;5.0;2.5;2;2.0;;12.0;
5805-01-6666436;1;-12.0;-12.0;-12.0;-12.0;15.0;15.0;3.0;3.0;1;1.0;;12.0;
5998-14-5216511;1;-11.0;-11.0;-11.0;-11.0;14.0;14.0;3.0;3.0;1;1.0;;11.0;
8145-14-5886584;1;11.0;11.0;11.0;11.0;1.0;1.0;12.0;12.0;1;;1.0;;11.0
7435-15-0102549;1;11.0;11.0;11.0;11.0;14.0;14.0;25.0;25.0;1;;1.0;;11.0
7025-14-5947569;2;11.0;5.5;-20.0;31.0;28.0;14.0;39.0;19.5;2;1.0;1.0;20.0;31.0
7025-01-6823189;2;-11.0;-5.5;-10.0;-1.0;17.0;8.5;6.0;3.0;2;2.0;;11.0;
6140-14-5937794;1;11.0;11.0;11.0;11.0;1.0;1.0;12.0;12.0;1;;1.0;;11.0
5895-39-0013584;1;-11.0;-11.0;-11.0;-11.0;12.0;12.0;1.0;1.0;1;1.0;;11.0;
7025-01-5812378;2;11.0;5.5;-2.0;13.0;14.0;7.0;25.0;12.5;2;1.0;1.0;2.0;13.0
5998-14-4535516;1;-11.0;-11.0;-11.0;-11.0;12.0;12.0;1.0;1.0;1;1.0;;11.0;
5998-14-5149568;2;-11.0;-5.5;-8.0;-3.0;15.0;7.5;4.0;2.0;2;2.0;;11.0;
