nomenclature;nb_deficits;deficit_total;deficit_moyen;deficit_min;deficit_max;total_exploitation;moy_exploitation;total_stock;moy_stock;nb_magasins;nb_manques;nb_surplus;manques_total;surplus_total
6030-01-4861256;2;11.0;5.5;-2.0;13.0;6.0;3.0;17.0;8.5;2;1.0;1.0;2.0;13.0
7025-15-1413082;1;11.0;11.0;11.0;11.0;2.0;2.0;13.0;13.0;1;;1.0;;11.0
5895-01-5716701;1;-10.0;-10.0;-10.0;-10.0;11.0;11.0;1.0;1.0;1;1.0;;10.0;
7025-14-5452181;2;10.0;5.0;3.0;7.0;12.0;6.0;22.0;11.0;2;;2.0;;10.0
5998-14-4978786;1;-10.0;-10.0;-10.0;-10.0;12.0;12.0;2.0;2.0;1;1.0;;10.0;
5998-14-5149570;1;-10.0;-10.0;-10.0;-10.0;11.0;11.0;1.0;1.0;1;1.0;;10.0;
5836-37-5349926;2;-10.0;-5.0;-20.0;10.0;25.0;12.5;15.0;7.5;2;1.0;1.0;20.0;10.0
5998-14-5803460;1;-10.0;-10.0;-10.0;-10.0;17.0;17.0;7.0;7.0;1;1.0;;10.0;
7025-20-0063155;2;-10.0;-5.0;-5.0;-5.0;43.0;21.5;33.0;16.5;2;2.0;;10.0;
5895-14-5874648;1;10.0;10.0;10.0;10.0;1.0;1.0;11.0;11.0;1;;1.0;;10.0
5895-25-1626130;1;-10.0;-10.0;-10.0;-10.0;11.0;11.0;1.0;1.0;1;1.0;;10.0;
5998-14-4761905;1;-10.0;-10.0;-10.0;-10.0;12.0;12.0;2.0;2.0;1;1.0;;10.0;
6030-14-5711031;1;-10.0;-10.0;-10.0;-10.0;12.0;12.0;2.0;2.0;1;1.0;;10.0;
5915-14-4852181;2;10.0;5.0;-39.0;49.0;53.0;26.5;63.0;31.5;2;1.0;1.0;39.0;49.0
DIRI-14-0000189;2;-10.0;-5.0;-10.0;0.0;12.0;6.0;2.0;1.0;2;1.0;;10.0;
5996-14-5886251;1;-10.0;-10.0;-10.0;-10.0;11.0;11.0;1.0;1.0;1;1.0;;10.0;
6130-01-6590426;1;-10.0;-10.0;-10.0;-10.0;14.0;14.0;4.0;4.0;1;1.0;;10.0;
5998-14-4852178;2;9.0;4.5;-15.0;24.0;21.0;10.5;30.0;15.0;2;1.0;1.0;15.0;24.0
5998-14-4761676;1;9.0;9.0;9.0;9.0;4.0;4.0;13.0;13.0;1;;1.0;;9.0
5998-14-5271978;1;-9.0;-9.0;-9.0;-9.0;10.0;10.0;1.0;1.0;1;1.0;;9.0;
5895-01-6548839;1;-9.0;-9.0;-9.0;-9.0;10.0;10.0;1.0;1.0;1;1.0;;9.0;
7021-14-5910771;1;9.0;9.0;9.0;9.0;5.0;5.0;14.0;14.0;1;;1.0;;9.0
7025-01-6409765;2;9.0;4.5;-2.0;11.0;9.0;4.5;18.0;9.0;2;1.0;1.0;2.0;11.0
7025-15-0168229;1;9.0;9.0;9.0;9.0;3.0;3.0;12.0;12.0;1;;1.0;;9.0
5810-14-5872765;1;9.0;9.0;9.0;9.0;3.0;3.0;12.0;12.0;1;;1.0;;9.0
7010-14-5717703;2;-9.0;-4.5;-9.0;0.0;12.0;6.0;3.0;1.5;2;1.0;;9.0;
7025-14-5959022;1;9.0;9.0;9.0;9.0;6.0;6.0;15.0;15.0;1;;1.0;;9.0
5998-14-5149588;3;-9.0;-3.0;-6.0;-1.0;13.0;4.33;4.0;1.33;3;3.0;;9.0;
5820-17-1247012;2;-9.0;-4.5;-10.0;1.0;16.0;8.0;7.0;3.5;2;1.0;1.0;10.0;1.0
5820-14-5960623;1;9.0;9.0;9.0;9.0;7.0;7.0;16.0;16.0;1;;1.0;;9.0
5998-14-5147122;1;9.0;9.0;9.0;9.0;2.0;2.0;11.0;11.0;1;;1.0;;9.0
DIRI-14-0002850;1;9.0;9.0;9.0;9.0;5.0;5.0;14.0;14.0;1;;1.0;;9.0
5998-14-4852174;1;9.0;9.0;9.0;9.0;2.0;2.0;11.0;11.0;1;;1.0;;9.0
5820-14-5892201;1;-9.0;-9.0;-9.0;-9.0;14.0;14.0;5.0;5.0;1;1.0;;9.0;
5895-14-5951970;3;9.0;3.0;-96.0;90.0;315.0;105.0;324.0;108.0;3;1.0;2.0;96.0;105.0
5998-14-4761675;2;9.0;4.5;-5.0;14.0;11.0;5.5;20.0;10.0;2;1.0;1.0;5.0;14.0
5805-01-6433469;1;8.0;8.0;8.0;8.0;4.0;4.0;12.0;12.0;1;;1.0;;8.0
7035-01-6774521;1;8.0;8.0;8.0;8.0;2.0;2.0;10.0;10.0;1;;1.0;;8.0
9080-DI-0362021;1;-8.0;-8.0;-8.0;-8.0;9.0;9.0;1.0;1.0;1;1.0;;8.0;
6030-14-5737039;1;8.0;8.0;8.0;8.0;1.0;1.0;9.0;9.0;1;;1.0;;8.0
9020-DI-1082016;2;-8.0;-4.0;-7.0;-1.0;14.0;7.0;6.0;3.0;2;2.0;;8.0;
5805-14-5427833;1;8.0;8.0;8.0;8.0;1.0;1.0;9.0;9.0;1;;1.0;;8.0
5805-01-6414432;1;8.0;8.0;8.0;8.0;7.0;7.0;15.0;15.0;1;;1.0;;8.0
5998-14-5115541;1;-8.0;-8.0;-8.0;-8.0;9.0;9.0;1.0;1.0;1;1.0;;8.0;
6030-14-5451517;1;-8.0;-8.0;-8.0;-8.0;10.0;10.0;2.0;2.0;1;1.0;;8.0;
5895-14-5900888;1;8.0;8.0;8.0;8.0;2.0;2.0;10.0;10.0;1;;1.0;;8.0
7025-01-5154390;1;-8.0;-8.0;-8.0;-8.0;9.0;9.0;1.0;1.0;1;1.0;;8.0;
5998-14-4852163;3;-8.0;-2.67;-32.0;47.0;69.0;23.0;61.0;20.33;3;2.0;1.0;55.0;47.0
7025-01-5690988;2;8.0;4.0;3.0;5.0;8.0;4.0;16.0;8.0;2;;2.0;;8.0
5998-14-4392519;1;8.0;8.0;8.0;8.0;1.0;1.0;9.0;9.0;1;;1.0;;8.0
7025-01-6822886;2;-8.0;-4.0;-7.0;-1.0;29.0;14.5;21.0;10.5;2;2.0;;8.0;
7025-01-6906089;1;-8.0;-8.0;-8.0;-8.0;13.0;13.0;5.0;5.0;1;1.0;;8.0;
7025-14-6033579;1;8.0;8.0;8.0;8.0;2.0;2.0;10.0;10.0;1;;1.0;;8.0
5998-14-5649245;2;8.0;4.0;-1.0;9.0;6.0;3.0;14.0;7.0;2;1.0;1.0;1.0;9.0
7010-01-6516598;1;-8.0;-8.0;-8.0;-8.0;11.0;11.0;3.0;3.0;1;1.0;;8.0;
5895-14-5878983;1;-8.0;-8.0;-8.0;-8.0;10.0;10.0;2.0;2.0;1;1.0;;8.0;
5895-14-5854233;1;-8.0;-8.0;-8.0;-8.0;9.0;9.0;1.0;1.0;1;1.0;;8.0;
5895-14-5695085;2;8.0;4.0;4.0;4.0;2.0;1.0;10.0;5.0;2;;2.0;;8.0
6730-14-5863391;1;8.0;8.0;8.0;8.0;1.0;1.0;9.0;9.0;1;;1.0;;8.0
6710-01-6661357;1;-8.0;-8.0;-8.0;-8.0;13.0;13.0;5.0;5.0;1;1.0;;8.0;
7010-01-6441911;1;-7.0;-7.0;-7.0;-7.0;19.0;19.0;12.0;12.0;1;1.0;;7.0;
7010-14-5717701;1;-7.0;-7.0;-7.0;-7.0;9.0;9.0;2.0;2.0;1;1.0;;7.0;
7035-14-5916707;1;-7.0;-7.0;-7.0;-7.0;17.0;17.0;10.0;10.0;1;1.0;;7.0;
7025-01-6429656;1;-7.0;-7.0;-7.0;-7.0;8.0;8.0;1.0;1.0;1;1.0;;7.0;
7010-14-5926783;1;7.0;7.0;7.0;7.0;4.0;4.0;11.0;11.0;1;;1.0;;7.0
7025-01-5944903;1;-7.0;-7.0;-7.0;-7.0;10.0;10.0;3.0;3.0;1;1.0;;7.0;
7025-01-5898446;1;7.0;7.0;7.0;7.0;6.0;6.0;13.0;13.0;1;;1.0;;7.0
7025-01-5621812;1;-7.0;-7.0;-7.0;-7.0;21.0;21.0;14.0;14.0;1;1.0;;7.0;
7035-01-6158873;1;-7.0;-7.0;-7.0;-7.0;20.0;20.0;13.0;13.0;1;1.0;;7.0;
7025-14-6013580;1;-7.0;-7.0;-7.0;-7.0;9.0;9.0;2.0;2.0;1;1.0;;7.0;
9010-DI-1032014;1;7.0;7.0;7.0;7.0;5.0;5.0;12.0;12.0;1;;1.0;;7.0
5110-14-5672350;1;7.0;7.0;7.0;7.0;1.0;1.0;8.0;8.0;1;;1.0;;7.0
5998-14-5649248;2;-7.0;-3.5;-17.0;10.0;19.0;9.5;12.0;6.0;2;1.0;1.0;17.0;10.0
5998-14-5648947;3;7.0;2.33;-2.0;9.0;13.0;4.33;20.0;6.67;3;1.0;1.0;2.0;9.0
5820-99-7543461;1;-7.0;-7.0;-7.0;-7.0;9.0;9.0;2.0;2.0;1;1.0;;7.0;
5820-99-2176599;1;-7.0;-7.0;-7.0;-7.0;23.0;23.0;16.0;16.0;1;1.0;;7.0;
5895-14-6008118;1;-7.0;-7.0;-7.0;-7.0;9.0;9.0;2.0;2.0;1;1.0;;7.0;
5998-14-4852175;2;7.0;3.5;-15.0;22.0;22.0;11.0;29.0;14.5;2;1.0;1.0;15.0;22.0
5895-14-5854248;1;-7.0;-7.0;-7.0;-7.0;9.0;9.0;2.0;2.0;1;1.0;;7.0;
5975-14-4491636;1;7.0;7.0;7.0;7.0;3.0;3.0;10.0;10.0;1;;1.0;;7.0
5895-01-5059537;1;7.0;7.0;7.0;7.0;7.0;7.0;14.0;14.0;1;;1.0;;7.0
5820-01-6504028;2;7.0;3.5;-7.0;14.0;9.0;4.5;16.0;8.0;2;1.0;1.0;7.0;14.0
5998-14-5149581;4;7.0;1.75;-110.0;202.0;207.0;51.75;214.0;53.5;4;3.0;1.0;195.0;202.0
5985-22-6196630;1;-7.0;-7.0;-7.0;-7.0;10.0;10.0;3.0;3.0;1;1.0;;7.0;
5820-98-2043141;1;7.0;7.0;7.0;7.0;1.0;1.0;8.0;8.0;1;;1.0;;7.0
5998-14-4761918;1;-7.0;-7.0;-7.0;-7.0;9.0;9.0;2.0;2.0;1;1.0;;7.0;
5998-14-4760551;1;-7.0;-7.0;-7.0;-7.0;8.0;8.0;1.0;1.0;1;1.0;;7.0;
6130-12-4051298;2;7.0;3.5;0.0;7.0;6.0;3.0;13.0;6.5;2;;1.0;;7.0
7010-14-5954173;1;6.0;6.0;6.0;6.0;4.0;4.0;10.0;10.0;1;;1.0;;6.0
7025-01-6266751;1;-6.0;-6.0;-6.0;-6.0;10.0;10.0;4.0;4.0;1;1.0;;6.0;
5998-14-5729629;5;-6.0;-1.2;-18.0;24.0;40.0;8.0;34.0;6.8;5;4.0;1.0;30.0;24.0
5998-14-5216510;2;-6.0;-3.0;-3.0;-3.0;10.0;5.0;4.0;2.0;2;2.0;;6.0;
7490-01-7136454;3;6.0;2.0;1.0;3.0;5.0;1.67;11.0;3.67;3;;3.0;;6.0
9010-DI-1072015;1;6.0;6.0;6.0;6.0;1.0;1.0;7.0;7.0;1;;1.0;;6.0
5810-14-6104556;1;6.0;6.0;6.0;6.0;3.0;3.0;9.0;9.0;1;;1.0;;6.0
5998-14-5595820;2;6.0;3.0;-6.0;12.0;9.0;4.5;15.0;7.5;2;1.0;1.0;6.0;12.0
5895-14-5888112;1;6.0;6.0;6.0;6.0;1.0;1.0;7.0;7.0;1;;1.0;;6.0
9010-DI-1072013;1;-6.0;-6.0;-6.0;-6.0;8.0;8.0;2.0;2.0;1;1.0;;6.0;
5820-14-5649877;2;6.0;3.0;-17.0;23.0;19.0;9.5;25.0;12.5;2;1.0;1.0;17.0;23.0
6130-14-4761679;1;6.0;6.0;6.0;6.0;2.0;2.0;8.0;8.0;1;;1.0;;6.0
7025-14-5899492;1;6.0;6.0;6.0;6.0;9.0;9.0;15.0;15.0;1;;1.0;;6.0
7035-01-6775865;1;6.0;6.0;6.0;6.0;2.0;2.0;8.0;8.0;1;;1.0;;6.0
5930-01-6473900;1;-6.0;-6.0;-6.0;-6.0;7.0;7.0;1.0;1.0;1;1.0;;6.0;
7050-27-0248275;1;-6.0;-6.0;-6.0;-6.0;7.0;7.0;1.0;1.0;1;1.0;;6.0;
7025-01-5160134;1;-6.0;-6.0;-6.0;-6.0;14.0;14.0;8.0;8.0;1;1.0;;6.0;
7025-01-5802001;1;-6.0;-6.0;-6.0;-6.0;7.0;7.0;1.0;1.0;1;1.0;;6.0;
7025-01-6065502;2;-6.0;-3.0;-11.0;5.0;30.0;15.0;24.0;12.0;2;1.0;1.0;11.0;5.0
7025-01-7017005;1;-6.0;-6.0;-6.0;-6.0;7.0;7.0;1.0;1.0;1;1.0;;6.0;
5820-22-6161404;1;-6.0;-6.0;-6.0;-6.0;13.0;13.0;7.0;7.0;1;1.0;;6.0;
6130-01-6014800;1;6.0;6.0;6.0;6.0;1.0;1.0;7.0;7.0;1;;1.0;;6.0
7025-01-6746466;4;-6.0;-1.5;-2.0;-1.0;12.0;3.0;6.0;1.5;4;4.0;;6.0;
7025-01-6571266;1;-6.0;-6.0;-6.0;-6.0;8.0;8.0;2.0;2.0;1;1.0;;6.0;
5895-14-5454738;1;-6.0;-6.0;-6.0;-6.0;9.0;9.0;3.0;3.0;1;1.0;;6.0;
5895-14-5270509;1;-6.0;-6.0;-6.0;-6.0;8.0;8.0;2.0;2.0;1;1.0;;6.0;
5998-14-4852176;2;-6.0;-3.0;-22.0;16.0;28.0;14.0;22.0;11.0;2;1.0;1.0;22.0;16.0
DIRI-14-0000147;1;6.0;6.0;6.0;6.0;3.0;3.0;9.0;9.0;1;;1.0;;6.0
5820-14-6071994;2;-6.0;-3.0;-5.0;-1.0;12.0;6.0;6.0;3.0;2;2.0;;6.0;
5895-01-5354405;1;-6.0;-6.0;-6.0;-6.0;7.0;7.0;1.0;1.0;1;1.0;;6.0;
5895-14-5501850;1;-6.0;-6.0;-6.0;-6.0;7.0;7.0;1.0;1.0;1;1.0;;6.0;
5930-01-5997585;2;-5.0;-2.5;-7.0;2.0;11.0;5.5;6.0;3.0;2;1.0;1.0;7.0;2.0
7025-15-1830250;1;5.0;5.0;5.0;5.0;3.0;3.0;8.0;8.0;1;;1.0;;5.0
5996-14-4823376;1;-5.0;-5.0;-5.0;-5.0;6.0;6.0;1.0;1.0;1;1.0;;5.0;
7025-01-5872235;1;5.0;5.0;5.0;5.0;2.0;2.0;7.0;7.0;1;;1.0;;5.0
7025-99-3345611;1;5.0;5.0;5.0;5.0;3.0;3.0;8.0;8.0;1;;1.0;;5.0
5998-14-4852164;1;5.0;5.0;5.0;5.0;1.0;1.0;6.0;6.0;1;;1.0;;5.0
5998-01-5863401;1;5.0;5.0;5.0;5.0;10.0;10.0;15.0;15.0;1;;1.0;;5.0
5998-14-5149587;3;5.0;1.67;0.0;4.0;4.0;1.33;9.0;3.0;3;;2.0;;5.0
7025-01-6241110;6;5.0;0.83;-17.0;34.0;40.0;6.67;45.0;7.5;6;4.0;2.0;31.0;36.0
5998-14-4823904;1;-5.0;-5.0;-5.0;-5.0;7.0;7.0;2.0;2.0;1;1.0;;5.0;
5820-22-6363449;1;-5.0;-5.0;-5.0;-5.0;12.0;12.0;7.0;7.0;1;1.0;;5.0;
5820-01-5587811;1;5.0;5.0;5.0;5.0;1.0;1.0;6.0;6.0;1;;1.0;;5.0
9030-DI-0012017;1;-5.0;-5.0;-5.0;-5.0;10.0;10.0;5.0;5.0;1;1.0;;5.0;
5975-14-5355910;2;-5.0;-2.5;-5.0;0.0;9.0;4.5;4.0;2.0;2;1.0;;5.0;
7025-14-5955956;1;-5.0;-5.0;-5.0;-5.0;6.0;6.0;1.0;1.0;1;1.0;;5.0;
6130-01-6583657;1;-5.0;-5.0;-5.0;-5.0;6.0;6.0;1.0;1.0;1;1.0;;5.0;
DIRI-14-0004182;1;5.0;5.0;5.0;5.0;2.0;2.0;7.0;7.0;1;;1.0;;5.0
7025-01-6550777;1;-5.0;-5.0;-5.0;-5.0;7.0;7.0;2.0;2.0;1;1.0;;5.0;
7035-01-6083487;2;5.0;2.5;-13.0;18.0;20.0;10.0;25.0;12.5;2;1.0;1.0;13.0;18.0
9090-DI-ELI0001;1;5.0;5.0;5.0;5.0;1.0;1.0;6.0;6.0;1;;1.0;;5.0
5805-71-0399731;1;-5.0;-5.0;-5.0;-5.0;10.0;10.0;5.0;5.0;1;1.0;;5.0;
7025-14-5885005;1;5.0;5.0;5.0;5.0;6.0;6.0;11.0;11.0;1;;1.0;;5.0
5810-14-5872772;1;-5.0;-5.0;-5.0;-5.0;6.0;6.0;1.0;1.0;1;1.0;;5.0;
5810-14-5879458;1;5.0;5.0;5.0;5.0;1.0;1.0;6.0;6.0;1;;1.0;;5.0
5895-14-5710809;1;-5.0;-5.0;-5.0;-5.0;6.0;6.0;1.0;1.0;1;1.0;;5.0;
5985-14-5618739;1;5.0;5.0;5.0;5.0;5.0;5.0;10.0;10.0;1;;1.0;;5.0
7025-01-6471718;1;-5.0;-5.0;-5.0;-5.0;6.0;6.0;1.0;1.0;1;1.0;;5.0;
5830-14-5548763;1;5.0;5.0;5.0;5.0;6.0;6.0;11.0;11.0;1;;1.0;;5.0
5998-14-5648977;2;5.0;2.5;-8.0;13.0;12.0;6.0;17.0;8.5;2;1.0;1.0;8.0;13.0
9010-DI-1062012;1;5.0;5.0;5.0;5.0;2.0;2.0;7.0;7.0;1;;1.0;;5.0
5895-14-5730049;3;-5.0;-1.67;-7.0;3.0;15.0;5.0;10.0;3.33;3;2.0;1.0;8.0;3.0
7025-14-5931735;1;-5.0;-5.0;-5.0;-5.0;6.0;6.0;1.0;1.0;1;1.0;;5.0;
9010-DI-1072016;1;-5.0;-5.0;-5.0;-5.0;50.0;50.0;45.0;45.0;1;1.0;;5.0;
6130-14-5740012;1;4.0;4.0;4.0;4.0;2.0;2.0;6.0;6.0;1;;1.0;;4.0
DIRI-14-0002769;1;4.0;4.0;4.0;4.0;1.0;1.0;5.0;5.0;1;;1.0;;4.0
7025-01-6675302;1;4.0;4.0;4.0;4.0;1.0;1.0;5.0;5.0;1;;1.0;;4.0
5895-14-5597509;1;4.0;4.0;4.0;4.0;2.0;2.0;6.0;6.0;1;;1.0;;4.0
7025-01-5543248;1;4.0;4.0;4.0;4.0;2.0;2.0;6.0;6.0;1;;1.0;;4.0
5915-14-4852179;3;-4.0;-1.33;-38.0;63.0;79.0;26.33;75.0;25.0;3;2.0;1.0;67.0;63.0
5998-14-4761920;1;-4.0;-4.0;-4.0;-4.0;6.0;6.0;2.0;2.0;1;1.0;;4.0;
9030-DI-0012014;2;-4.0;-2.0;-29.0;25.0;35.0;17.5;31.0;15.5;2;1.0;1.0;29.0;25.0
5895-14-5595817;1;4.0;4.0;4.0;4.0;3.0;3.0;7.0;7.0;1;;1.0;;4.0
6625-33-2192577;1;4.0;4.0;4.0;4.0;1.0;1.0;5.0;5.0;1;;1.0;;4.0
5820-22-6244938;1;4.0;4.0;4.0;4.0;2.0;2.0;6.0;6.0;1;;1.0;;4.0
7025-01-5867725;2;-4.0;-2.0;-3.0;-1.0;8.0;4.0;4.0;2.0;2;2.0;;4.0;
DIRI-14-0006261;1;4.0;4.0;4.0;4.0;1.0;1.0;5.0;5.0;1;;1.0;;4.0
7025-01-6963056;4;-4.0;-1.0;-15.0;16.0;47.0;11.75;43.0;10.75;4;2.0;1.0;20.0;16.0
5998-14-4747163;1;-4.0;-4.0;-4.0;-4.0;6.0;6.0;2.0;2.0;1;1.0;;4.0;
7035-14-5914982;4;4.0;1.0;-9.0;19.0;34.0;8.5;38.0;9.5;4;3.0;1.0;15.0;19.0
5930-15-0180733;2;-4.0;-2.0;-2.0;-2.0;9.0;4.5;5.0;2.5;2;2.0;;4.0;
5895-14-5377197;1;4.0;4.0;4.0;4.0;5.0;5.0;9.0;9.0;1;;1.0;;4.0
7025-15-0168475;1;4.0;4.0;4.0;4.0;4.0;4.0;8.0;8.0;1;;1.0;;4.0
7025-01-6468008;1;-4.0;-4.0;-4.0;-4.0;8.0;8.0;4.0;4.0;1;1.0;;4.0;
5895-14-6004618;1;4.0;4.0;4.0;4.0;3.0;3.0;7.0;7.0;1;;1.0;;4.0
5985-15-0082430;1;4.0;4.0;4.0;4.0;1.0;1.0;5.0;5.0;1;;1.0;;4.0
5895-14-6075442;1;4.0;4.0;4.0;4.0;4.0;4.0;8.0;8.0;1;;1.0;;4.0
5998-14-5511953;1;-4.0;-4.0;-4.0;-4.0;5.0;5.0;1.0;1.0;1;1.0;;4.0;
7025-01-6712573;1;-4.0;-4.0;-4.0;-4.0;7.0;7.0;3.0;3.0;1;1.0;;4.0;
5998-01-4565949;1;-4.0;-4.0;-4.0;-4.0;7.0;7.0;3.0;3.0;1;1.0;;4.0;
7021-17-1278669;2;-4.0;-2.0;-9.0;5.0;12.0;6.0;8.0;4.0;2;1.0;1.0;9.0;5.0
5998-01-5834169;2;-4.0;-2.0;-4.0;0.0;9.0;4.5;5.0;2.5;2;1.0;;4.0;
5820-14-4673111;1;4.0;4.0;4.0;4.0;1.0;1.0;5.0;5.0;1;;1.0;;4.0
7025-01-6426701;1;4.0;4.0;4.0;4.0;1.0;1.0;5.0;5.0;1;;1.0;;4.0
5965-99-1571899;1;-3.0;-3.0;-3.0;-3.0;9.0;9.0;6.0;6.0;1;1.0;;3.0;
7025-01-6919340;1;-3.0;-3.0;-3.0;-3.0;4.0;4.0;1.0;1.0;1;1.0;;3.0;
7035-01-6753307;1;3.0;3.0;3.0;3.0;2.0;2.0;5.0;5.0;1;;1.0;;3.0
7025-01-6538334;1;3.0;3.0;3.0;3.0;4.0;4.0;7.0;7.0;1;;1.0;;3.0
7025-01-6264014;1;3.0;3.0;3.0;3.0;2.0;2.0;5.0;5.0;1;;1.0;;3.0
5930-15-0140306;1;-3.0;-3.0;-3.0;-3.0;6.0;6.0;3.0;3.0;1;1.0;;3.0;
5985-22-6043146;1;-3.0;-3.0;-3.0;-3.0;4.0;4.0;1.0;1.0;1;1.0;;3.0;
7025-01-6795313;1;-3.0;-3.0;-3.0;-3.0;4.0;4.0;1.0;1.0;1;1.0;;3.0;
5975-14-4761893;1;-3.0;-3.0;-3.0;-3.0;7.0;7.0;4.0;4.0;1;1.0;;3.0;
5820-99-5083499;1;3.0;3.0;3.0;3.0;1.0;1.0;4.0;4.0;1;;1.0;;3.0
7025-01-6301434;1;3.0;3.0;3.0;3.0;1.0;1.0;4.0;4.0;1;;1.0;;3.0
5975-01-6429655;1;-3.0;-3.0;-3.0;-3.0;4.0;4.0;1.0;1.0;1;1.0;;3.0;
5895-14-6099254;1;3.0;3.0;3.0;3.0;2.0;2.0;5.0;5.0;1;;1.0;;3.0
5998-14-4636521;1;-3.0;-3.0;-3.0;-3.0;5.0;5.0;2.0;2.0;1;1.0;;3.0;
5820-01-7078911;1;3.0;3.0;3.0;3.0;1.0;1.0;4.0;4.0;1;;1.0;;3.0
5820-01-6073345;1;3.0;3.0;3.0;3.0;1.0;1.0;4.0;4.0;1;;1.0;;3.0
7025-01-5977347;1;3.0;3.0;3.0;3.0;1.0;1.0;4.0;4.0;1;;1.0;;3.0
6730-14-5730476;1;-3.0;-3.0;-3.0;-3.0;4.0;4.0;1.0;1.0;1;1.0;;3.0;
5895-01-6906682;1;3.0;3.0;3.0;3.0;1.0;1.0;4.0;4.0;1;;1.0;;3.0
5895-14-2620980;1;3.0;3.0;3.0;3.0;2.0;2.0;5.0;5.0;1;;1.0;;3.0
5810-14-6005236;1;3.0;3.0;3.0;3.0;3.0;3.0;6.0;6.0;1;;1.0;;3.0
7025-14-6070179;1;3.0;3.0;3.0;3.0;1.0;1.0;4.0;4.0;1;;1.0;;3.0
9030-DI-1012013;1;-3.0;-3.0;-3.0;-3.0;5.0;5.0;2.0;2.0;1;1.0;;3.0;
9030-DI-1022013;1;3.0;3.0;3.0;3.0;3.0;3.0;6.0;6.0;1;;1.0;;3.0
9070-DI-0022023;1;3.0;3.0;3.0;3.0;7.0;7.0;10.0;10.0;1;;1.0;;3.0
5810-14-5668143;1;-3.0;-3.0;-3.0;-3.0;4.0;4.0;1.0;1.0;1;1.0;;3.0;
6130-25-1625841;1;3.0;3.0;3.0;3.0;4.0;4.0;7.0;7.0;1;;1.0;;3.0
6060-27-0676923;1;-3.0;-3.0;-3.0;-3.0;6.0;6.0;3.0;3.0;1;1.0;;3.0;
DIRI-14-0001992;1;-3.0;-3.0;-3.0;-3.0;6.0;6.0;3.0;3.0;1;1.0;;3.0;
5805-01-6146636;1;3.0;3.0;3.0;3.0;2.0;2.0;5.0;5.0;1;;1.0;;3.0
6130-14-5355924;1;-3.0;-3.0;-3.0;-3.0;5.0;5.0;2.0;2.0;1;1.0;;3.0;
7025-14-5984652;1;3.0;3.0;3.0;3.0;2.0;2.0;5.0;5.0;1;;1.0;;3.0
7010-14-5534805;2;-3.0;-1.5;-2.0;-1.0;5.0;2.5;2.0;1.0;2;2.0;;3.0;
